comment_id,anonymous,graduating_year,job_title,program,overall_score,job_support,school
306068,True,2023,Full stack development,,5.0,5.0,ironhack
305297,False,2023,Full Stack Web Developer,Web Development Bootcamp,4.0,4.0,ironhack
305278,False,2023,Product Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
305231,True,2023,,Web Development Bootcamp,1.0,1.0,ironhack
305096,True,2023,Web Development,Web Development Part-Time,4.3,4.0,ironhack
305091,False,2023,Data Analyst,Data Analytics Part-Time,4.3,4.0,ironhack
305014,False,2023,UX designer,UX/UI Design Part-Time,5.0,5.0,ironhack
304980,False,2023,Fullstack Web DxA very intensive 9-week bootcamp and an incredibly challenging experience.eveloper,Web Development Bootcamp,5.0,5.0,ironhack
304977,False,2023,,Data Analytics Part-Time,5.0,5.0,ironhack
304968,False,2023,Fullstack Web Developer,Web Development Part-Time,5.0,5.0,ironhack
304955,True,2023,Web Developer,Web Development Part-Time,4.3,4.0,ironhack
304781,False,2023,,Web Development Bootcamp,4.0,4.0,ironhack
303473,False,2023,Educationalist,Data Analytics Part-Time,4.3,4.0,ironhack
303383,True,2023,Frontend developer,Web Development Part-Time,4.7,5.0,ironhack
303371,False,2023,Web Development,,4.3,5.0,ironhack
302783,True,2023,Tracking specialist,Web Development Bootcamp,4.7,4.0,ironhack
302774,True,2023,,,5.0,5.0,ironhack
302682,True,2023,,UX/UI Design Bootcamp,2.7,3.0,ironhack
302245,False,2023,,UX/UI Design Bootcamp,2.0,2.0,ironhack
301920,False,2023,,Web Development Bootcamp,4.7,4.0,ironhack
301899,False,2023,,Web Development Bootcamp,4.7,4.0,ironhack
301673,False,2023,fullstack web developer,Web Development Bootcamp,5.0,5.0,ironhack
301626,True,2023,,,5.0,5.0,ironhack
301623,True,2023,,Web Development Bootcamp,1.0,,ironhack
301622,False,2023,,Web Development Part-Time,5.0,5.0,ironhack
301566,True,2023,,Web Development Bootcamp,1.3,1.0,ironhack
301007,False,2023,Full stack web developer,Web Development Part-Time,5.0,5.0,ironhack
301003,True,2023,Web developer,Web Development Part-Time,5.0,5.0,ironhack
300758,True,2023,HR,UX/UI Design Bootcamp,5.0,,ironhack
300701,False,2023,Credit risk analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
300599,True,2023,Product designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
300597,False,2023,,Web Development Bootcamp,4.0,4.0,ironhack
300526,False,2023,,Data Analytics Bootcamp,4.3,3.0,ironhack
300130,False,2023,Data engineer,Cybersecurity Part-Time,4.3,4.0,ironhack
300057,True,2022,,Web Development Bootcamp,2.0,1.0,ironhack
299681,False,2022,Ux Designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
299425,False,2023,Software Engineer,Web Development Bootcamp,4.0,4.0,ironhack
299312,True,2023,,Web Development Bootcamp,4.0,4.0,ironhack
299301,False,2023,ux ui designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
299046,True,2023,,UX/UI Design Bootcamp,1.7,1.0,ironhack
298679,True,2023,Supply Chain Manager,Data Analytics Part-Time,5.0,5.0,ironhack
298019,True,2023,,Data Analytics Bootcamp,4.3,3.0,ironhack
297671,False,2023,,Web Development Bootcamp,3.7,3.0,ironhack
297668,True,2023,Cybersecurity analysts,Cyber Security Bootcamp,5.0,5.0,ironhack
297606,False,2023,data analyst,Data Analytics Bootcamp,4.3,4.0,ironhack
297578,True,2023,,Cyber Security Bootcamp,1.7,2.0,ironhack
297561,True,2023,,Cyber Security Bootcamp,4.0,4.0,ironhack
297202,False,2023,UX UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
297188,False,2023,,Data Analytics Part-Time,5.0,5.0,ironhack
297136,False,2023,Marketing Manager,UX/UI Design Bootcamp,4.7,4.0,ironhack
297018,True,2023,,Data Analytics Part-Time,4.0,4.0,ironhack
297010,True,2023,,Web Development Part-Time,3.7,3.0,ironhack
296291,False,2021,Product Manager,Web Development Bootcamp,4.0,3.0,ironhack
296287,False,2021,UXUI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
296286,False,2021,Analista de Desenvolvimento Web,Web Development Part-Time,5.0,5.0,ironhack
296258,False,2022,intern,Web Development Part-Time,3.3,2.0,ironhack
296252,False,2021,"Anls, Full-Stack Developer",Web Development Bootcamp,5.0,5.0,ironhack
296251,False,2022,Data Analyst,Data Analytics Part-Time,5.0,5.0,ironhack
296250,False,2021,,Web Development Part-Time,4.0,4.0,ironhack
296249,False,2021,,Web Development Part-Time,5.0,5.0,ironhack
296206,False,2022,FullStack Developer,Web Development Part-Time,5.0,5.0,ironhack
296105,False,2022,Fullstack Engineer,Web Development Bootcamp,5.0,5.0,ironhack
296087,False,2021,UX UI Designer,UX/UI Design Bootcamp,4.3,3.0,ironhack
296064,False,2022,Tech analyst,Web Development Bootcamp,5.0,5.0,ironhack
296014,False,2022,Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
295964,False,2022,UI/UX Designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
295952,True,2022,UX/UI DESIGNER,UX/UI Design Bootcamp,4.7,4.0,ironhack
295907,False,2022,UX/UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
295862,False,2022,,UX/UI Design Bootcamp,4.7,4.0,ironhack
295850,False,2021,Customer Success Engineer,Web Development Part-Time,4.0,2.0,ironhack
295837,False,2022,Software Developer Intern,Web Development Part-Time,4.7,4.0,ironhack
295824,True,2022,,Web Development Bootcamp,3.0,1.0,ironhack
295775,False,2022,UX Researcher,UX/UI Design Bootcamp,3.7,1.0,ironhack
295767,False,2022,Software Developer,Web Development Bootcamp,5.0,5.0,ironhack
295724,False,2020,PM Fintech,Data Analytics Part-Time,3.7,4.0,ironhack
295717,False,2022,,Web Development Bootcamp,5.0,5.0,ironhack
295679,False,2022,UX Researcher,UX/UI Design Bootcamp,5.0,5.0,ironhack
295646,True,2022,UX UI Designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
295643,False,2022,,UX/UI Design Part-Time,5.0,5.0,ironhack
295634,False,2022,UX UI Designer,,5.0,5.0,ironhack
295608,False,2021,,UX/UI Design Bootcamp,4.3,4.0,ironhack
295595,False,2021,Data Analyst,,4.3,5.0,ironhack
295582,False,2021,Software Engineer,Web Development Bootcamp,5.0,5.0,ironhack
295567,False,2021,UX/UI Designer,UX/UI Design Part-Time,5.0,5.0,ironhack
295563,False,2021,Data Analyst,Data Analytics Part-Time,5.0,5.0,ironhack
295561,False,2021,junior backend developer,Web Development Bootcamp,5.0,5.0,ironhack
295560,False,2020,Gerente Tecnología,Data Analytics Part-Time,5.0,5.0,ironhack
295557,False,2021,Front-End Developer,Web Development Bootcamp,4.7,5.0,ironhack
295530,False,2022,Sofware Engineer,Web Development Bootcamp,5.0,5.0,ironhack
295500,False,2022,UX Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
295495,False,2022,,Cybersecurity Part-Time,4.0,4.0,ironhack
295451,False,2022,Data Analyst and Engineer,Data Analytics Part-Time,5.0,5.0,ironhack
295446,False,2022,web developemen,,3.7,4.0,ironhack
295442,False,2022,Programmer,Web Development Bootcamp,5.0,5.0,ironhack
295437,False,2022,,Web Development Bootcamp,5.0,5.0,ironhack
295434,False,2022,Associate Engineer,Web Development Part-Time,5.0,5.0,ironhack
295433,True,2022,,Data Analytics Part-Time,3.0,3.0,ironhack
295429,False,2022,Data Analyst,Data Analytics Bootcamp,3.7,3.0,ironhack
295427,True,2022,,Web Development Bootcamp,5.0,5.0,ironhack
295411,False,2022,Ux/Ui designer,UX/UI Design Bootcamp,4.7,4.0,ironhack
295396,False,2022,,Web Development Bootcamp,5.0,5.0,ironhack
295392,True,2022,,Web Development Bootcamp,4.7,4.0,ironhack
295375,True,2022,Frontend Developer,Web Development Bootcamp,5.0,5.0,ironhack
295373,False,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
295324,False,2022,Web Developer,Web Development Part-Time,5.0,5.0,ironhack
295321,True,2022,,Web Development Bootcamp,4.7,4.0,ironhack
295281,True,2022,Software Engineer,Web Development Bootcamp,5.0,5.0,ironhack
295275,False,2022,Frontend Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
295160,False,2022,Consultant Content / PR / Graphic design,UX/UI Design Bootcamp,4.3,4.0,ironhack
295156,False,2022,UX/UI Designing,UX/UI Design Bootcamp,5.0,5.0,ironhack
295140,False,2022,Clinical Psychologist / Ux Researcher,UX/UI Design Part-Time,4.3,5.0,ironhack
295032,False,2022,Lawyer,Web Development Bootcamp,4.7,4.0,ironhack
294918,False,2022,Full Stack Web Developer,Web Development Part-Time,5.0,5.0,ironhack
294813,False,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
294615,False,2022,Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
294342,False,2022,,Cyber Security Bootcamp,5.0,5.0,ironhack
294211,True,2022,SOC analyst,Cyber Security Bootcamp,5.0,5.0,ironhack
294206,False,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
294177,False,2022,Front End Developer,UX/UI Design Bootcamp,4.3,4.0,ironhack
294176,False,2022,,Web Development Bootcamp,4.0,2.0,ironhack
294009,False,2022,UX/UI Designer,UX/UI Design Bootcamp,4.0,3.0,ironhack
293764,False,2022,Journalist,UX/UI Design Bootcamp,3.3,3.0,ironhack
293752,True,2022,Ux designer,UX/UI Design Bootcamp,3.7,4.0,ironhack
293725,True,2022,Data analyst,Data Analytics Part-Time,3.3,3.0,ironhack
293664,False,2022,,,5.0,5.0,ironhack
293621,False,2022,,Cybersecurity Part-Time,3.3,4.0,ironhack
293620,True,2022,,Web Development Part-Time,5.0,5.0,ironhack
293450,False,2022,Full stack web developper,Web Development Bootcamp,5.0,5.0,ironhack
293414,True,2022,,Web Development Bootcamp,5.0,5.0,ironhack
293413,False,2022,Fullstack Developer,Web Development Bootcamp,5.0,5.0,ironhack
293392,False,2022,,UX/UI Design Bootcamp,5.0,5.0,ironhack
293390,False,2022,Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
293386,True,2022,,Web Development Bootcamp,4.7,5.0,ironhack
293379,False,2022,,,5.0,5.0,ironhack
293375,False,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
293374,False,2022,Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
293175,False,2022,Web Developer,,4.3,5.0,ironhack
293171,False,2022,Data Analyst student,Data Analytics Bootcamp,5.0,5.0,ironhack
292845,True,2022,Junior Web Developer,Web Development Bootcamp,4.7,4.0,ironhack
292077,False,2022,Executive Director,Data Analytics Part-Time,4.7,4.0,ironhack
292070,False,2022,Fullstack,Web Development Part-Time,4.0,4.0,ironhack
291988,True,2022,,Data Analytics Part-Time,4.3,4.0,ironhack
291974,True,2022,Full Stack Web Dev,,4.7,5.0,ironhack
291924,False,2022,Online Marketing Manager,Web Development Bootcamp,4.7,5.0,ironhack
291922,False,2022,Fullstack Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
291917,True,2022,,Web Development Bootcamp,4.7,4.0,ironhack
291895,False,2022,,Data Analytics Part-Time,4.3,4.0,ironhack
291886,True,2022,Data Analyst,,4.0,5.0,ironhack
291872,False,2022,Data Analyst,,4.3,4.0,ironhack
290712,True,2022,,Web Development Part-Time,4.0,4.0,ironhack
290576,False,2022,,Data Analytics Part-Time,5.0,5.0,ironhack
290573,False,2022,CyberSecurity professional,,4.7,5.0,ironhack
290330,False,2022,Full Stack Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
290138,False,2022,,UX/UI Design Bootcamp,1.0,1.0,ironhack
290136,True,2022,,Data Analytics Bootcamp,1.0,1.0,ironhack
290089,True,2022,,Web Development Bootcamp,1.0,1.0,ironhack
290088,True,2022,,Data Analytics Bootcamp,1.3,1.0,ironhack
290085,True,2022,,Web Development Bootcamp,1.0,1.0,ironhack
290083,False,2021,,Web Development Bootcamp,1.0,1.0,ironhack
289845,False,2022,Front End Developer,Web Development Part-Time,5.0,5.0,ironhack
289717,False,2022,,Web Development Bootcamp,4.0,4.0,ironhack
289703,True,2022,Full Stack developer,Web Development Bootcamp,5.0,5.0,ironhack
289699,False,2022,Web Developer,Web Development Bootcamp,5.0,5.0,ironhack
289674,False,2022,Fullstack engineer,Web Development Bootcamp,5.0,5.0,ironhack
289606,True,2022,Junior Data Analyst,Data Analytics Bootcamp,4.7,5.0,ironhack
289376,False,2022,,Web Development Bootcamp,5.0,5.0,ironhack
289325,True,2022,Data Analyst,Data Analytics Part-Time,4.3,4.0,ironhack
288655,False,2022,Software Developer,Web Development Part-Time,5.0,5.0,ironhack
288625,False,2022,Web Developer,Web Development Part-Time,5.0,5.0,ironhack
288601,False,2022,,Web Development Part-Time,4.0,4.0,ironhack
288597,True,2022,,,5.0,5.0,ironhack
288560,False,2022,UX/UI Designer,UX/UI Design Bootcamp,4.0,4.0,ironhack
287921,False,2022,UX/UI designer,UX/UI Design Part-Time,4.3,4.0,ironhack
287519,True,2022,Full stack Javascript developer,Web Development Part-Time,3.7,3.0,ironhack
287001,True,2022,Financial Business Analyst,Data Analytics Part-Time,4.5,,ironhack
286993,False,2021,Software Engineer,Web Development Part-Time,4.7,5.0,ironhack
286908,True,2022,,,4.0,4.0,ironhack
286798,True,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
286783,True,2022,,Web Development Bootcamp,4.3,4.0,ironhack
286773,True,2022,UX UI Designer,,3.3,2.0,ironhack
286654,False,2022,,Data Analytics Part-Time,1.0,1.0,ironhack
286102,False,2022,UX/UI Designer,UX/UI Design Bootcamp,4.7,5.0,ironhack
285885,False,2022,,Data Analytics Bootcamp,5.0,5.0,ironhack
285883,True,2021,,Web Development Bootcamp,5.0,5.0,ironhack
285882,False,2022,,UX/UI Design Bootcamp,4.7,4.0,ironhack
285879,False,2022,UX designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
284372,False,2021,UX / UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
284341,False,2021,Cyber security analyst,Cyber Security Bootcamp,5.0,5.0,ironhack
284279,False,2021,Data Engineer,Data Analytics Bootcamp,4.7,5.0,ironhack
283970,True,2021,Innovation and strategy,Data Analytics Part-Time,3.7,3.0,ironhack
283920,False,2021,,Web Development Part-Time,4.7,4.0,ironhack
283888,True,2021,,Web Development Bootcamp,3.7,3.0,ironhack
283886,False,2021,,Web Development Bootcamp,3.7,3.0,ironhack
283885,False,2021,Full stack Javascript developer,Web Development Bootcamp,4.3,4.0,ironhack
283876,False,2021,UX/UI Designer,UX/UI Design Bootcamp,3.7,3.0,ironhack
283875,False,2021,UX UI Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
283846,True,2021,Full-Stack developer,Web Development Bootcamp,3.7,3.0,ironhack
283696,False,2021,,Web Development Bootcamp,5.0,5.0,ironhack
283695,False,2021,,Web Development Bootcamp,4.3,5.0,ironhack
283694,False,2021,Web developer,Web Development Bootcamp,5.0,5.0,ironhack
283693,True,2021,Product Designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
282855,False,2021,,,4.0,4.0,ironhack
282846,True,2021,,Data Analytics Bootcamp,2.3,2.0,ironhack
282716,True,2021,,UX/UI Design Bootcamp,4.7,5.0,ironhack
282584,True,2021,,Web Development Bootcamp,4.3,4.0,ironhack
282540,False,2021,,Web Development Bootcamp,5.0,5.0,ironhack
282353,False,2021,Full Stack Developer,Web Development Bootcamp,4.7,4.0,ironhack
282201,True,2020,,,1.0,1.0,ironhack
281922,False,2021,,Data Analytics Part-Time,4.7,4.0,ironhack
281886,False,2021,full stack developer,Web Development Bootcamp,4.0,4.0,ironhack
281844,True,2021,UXUI Designer,UX/UI Design Part-Time,4.7,4.0,ironhack
281717,False,2021,,Web Development Part-Time,3.0,1.0,ironhack
281650,False,2021,Frontend Developer,Web Development Bootcamp,5.0,5.0,ironhack
281479,False,2021,Product designer,UX/UI Design Bootcamp,5.0,5.0,ironhack
281477,False,2021,ux ui designer,UX/UI Design Bootcamp,3.7,4.0,ironhack
281393,True,2021,,,4.3,5.0,ironhack
281385,False,2021,,Data Analytics Bootcamp,1.0,1.0,ironhack
281240,False,2021,web dev fullstack,Web Development Part-Time,4.0,4.0,ironhack
281224,False,2021,,Web Development Part-Time,5.0,5.0,ironhack
281189,False,2021,,Web Development Bootcamp,4.0,4.0,ironhack
280300,False,2021,,Web Development Part-Time,5.0,5.0,ironhack
280229,False,2021,,Data Analytics Bootcamp,5.0,5.0,ironhack
279982,False,2021,,Data Analytics Bootcamp,5.0,5.0,ironhack
279899,False,2021,Junior Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
279865,True,2021,Data Analyst,Data Analytics Bootcamp,5.0,5.0,ironhack
279854,True,2021,Web Developer,Web Development Bootcamp,4.7,4.0,ironhack
278953,True,2021,,UX/UI Design Bootcamp,4.7,5.0,ironhack
278942,False,2021,Junior Web Dev,Web Development Bootcamp,5.0,5.0,ironhack
278904,False,2021,UX UI Designer,UX/UI Design Bootcamp,4.3,4.0,ironhack
278899,False,2021,UX/UI designer,UX/UI Design Bootcamp,4.7,5.0,ironhack
278885,True,2021,,UX/UI Design Bootcamp,5.0,5.0,ironhack
278869,False,2021,,,4.7,5.0,ironhack
278853,False,2021,Web Developer,Web Development Bootcamp,4.7,4.0,ironhack
